14.058;DPT_Value_Pressure;obix:units/pascal
14.059;DPT_Value_Reactance;obix:units/ohm
14.060;DPT_Value_Resistance;obix:units/ohm
14.061;DPT_Value_Resistivity;obix:units/ohm_meter
14.062;DPT_Value_SelfInductance;obix:units/henry
14.063;DPT_Value_SolidAngle;obix:units/steradian
14.064;DPT_Value_Sound_Intensity;obix:units/watts_per_square_meter
14.065;DPT_Value_Speed;obix:units/meters_per_second
14.066;DPT_Value_Stress;obix:units/pascal
14.067;DPT_Value_Surface_Tension;obix:units/newtons_per_meter
14.068;DPT_Value_Common_Temperature;obix:units/celsius_degrees
14.069;DPT_Value_Absolute_Temperature;obix:units/kelvin_degrees
14.070;DPT_Value_TemperatureDifference;obix:units/temperature_differential
14.071;DPT_Value_Thermal_Capacity;obix:units/x-joule_per_kelvin
14.072;DPT_Value_Thermal_Conductivity;obix:units/watts_per_meter_degree_kelvin
14.073;DPT_Value_ThermoelectricPower;obix:units/volts_per_degree_kelvin
14.074;DPT_Value_Time;obix:units/second
14.075;DPT_Value_Torque;obix:units/newton_meter
14.076;DPT_Value_Volume;obix:units/cubic_meter
14.077;DPT_Value_Volume_Flux;obix:units/cubic_meters_per_second
14.078;DPT_Value_Weight;obix:units/newton
14.079;DPT_Value_Work;obix:units/joule
222.100;DPT_TempRoomSetpSetF16[3];obix:units/celsius_degrees
222.101;DPT_TempRoomSetpSetShiftF16[3];obix:units/kelvin_degrees
